oid,proname,pronamespace,proowner,prolang,procost,prorows,provariadic,prosupport,prokind,prosecdef,proleakproof,proisstrict,proretset,provolatile,proparallel,pronargs,pronargdefaults,prorettype,proargtypes,proallargtypes,proargmodes,proargnames,proargdefaults,protrftypes,prosrc,probin,prosqlbody,proconfig,proacl
183,int42mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,23,23 21,,,,,,int42mi,,,,
184,oideq,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,26 26,,,,,,oideq,,,,
185,oidne,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,26 26,,,,,,oidne,,,,
186,box_same,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_same,,,,
187,box_contain,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_contain,,,,
188,box_left,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_left,,,,
189,box_overleft,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_overleft,,,,
190,box_overright,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_overright,,,,
191,box_right,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_right,,,,
192,box_contained,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 603,,,,,,box_contained,,,,
193,box_contain_pt,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,16,603 600,,,,,,box_contain_pt,,,,
195,pg_node_tree_in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,194,2275,,,,,,pg_node_tree_in,,,,
196,pg_node_tree_out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,194,,,,,,pg_node_tree_out,,,,
197,pg_node_tree_recv,11,10,12,1,0,0,0,f,f,f,t,f,s,s,1,0,194,2281,,,,,,pg_node_tree_recv,,,,
198,pg_node_tree_send,11,10,12,1,0,0,0,f,f,f,t,f,s,s,1,0,17,194,,,,,,pg_node_tree_send,,,,
200,float4in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,700,2275,,,,,,float4in,,,,
201,float4out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,700,,,,,,float4out,,,,
202,float4mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4mul,,,,
203,float4div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4div,,,,
204,float4pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4pl,,,,
205,float4mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4mi,,,,
206,float4um,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,700,700,,,,,,float4um,,,,
207,float4abs,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,700,700,,,,,,float4abs,,,,
