oid,relname,relnamespace,reltype,reloftype,relowner,relam,relfilenode,reltablespace,relpages,reltuples,relallvisible,reltoastrelid,relhasindex,relisshared,relpersistence,relkind,relnatts,relchecks,relhasrules,relhastriggers,relhassubclass,relrowsecurity,relforcerowsecurity,relispopulated,relreplident,relispartition,relrewrite,relfrozenxid,relminmxid,relacl,reloptions,relpartbound
3598,pg_toast_3596,99,0,0,10,2,3598,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
3599,pg_toast_3596_index,99,0,0,10,403,3599,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4060,pg_toast_3592,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4061,pg_toast_3592_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
6175,pg_toast_3456,99,0,0,10,2,6175,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
6176,pg_toast_3456_index,99,0,0,10,403,6176,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
6244,pg_toast_6243,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
6245,pg_toast_6243_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4165,pg_toast_3350,99,0,0,10,2,4165,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4166,pg_toast_3350_index,99,0,0,10,403,4166,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
6228,pg_toast_6106,99,0,0,10,2,6228,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
6229,pg_toast_6106_index,99,0,0,10,403,6229,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4183,pg_toast_6100,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4184,pg_toast_6100_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2690,pg_proc_oid_index,11,0,0,10,403,0,0,12,3330,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2691,pg_proc_proname_args_nsp_index,11,0,0,10,403,0,0,32,3330,0,0,f,f,p,i,3,0,f,f,f,f,f,t,n,f,0,0,0,,,
2703,pg_type_oid_index,11,0,0,10,403,0,0,4,617,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2704,pg_type_typname_nsp_index,11,0,0,10,403,0,0,5,617,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
